relevance,label,feature_0,feature_1,examination_0
-4.401442050933838,0.9762722319711781,0.0,1.7115973234176636,1.0
-5.359288692474365,0.0,0.0,2.3644137382507324,1.0
-4.640793323516846,0.7163585203599198,0.0,1.8575471639633179,1.0
-5.204712867736816,0.1342031360594099,0.0,2.25020694732666,1.0
-5.045644760131836,0.2885177495596912,0.0,2.1353137493133545,1.0
-4.850374698638916,0.4895960276323089,0.0,1.9981637001037598,1.0
-4.071750164031982,1.3256424250402647,0.0,1.5368027687072754,1.0
-3.355527639389038,2.0676414802237986,0.0,1.229348063468933,1.0
-2.2489261627197266,3.1801391596483395,0.0,0.8690732717514038,1.0
-1.322820782661438,4.0,0.0,0.4252024292945862,1.0
-4.4392852783203125,0.9353911467139702,0.0,1.7335829734802246,1.0
-5.372628688812256,0.0,0.0,2.374384641647339,1.0
-4.663849353790283,0.6912270448508768,0.0,1.8724788427352905,1.0
-5.183950424194336,0.15384410839412443,0.0,2.235055446624756,1.0
-5.080227375030518,0.25423113041758183,0.0,2.160053253173828,1.0
-4.880164623260498,0.45811387265623366,0.0,2.0188021659851074,1.0
-4.054422855377197,1.3436563875810148,0.0,1.5283796787261963,1.0
-3.4228246212005615,1.998536284805742,0.0,1.254960536956787,1.0
-2.64448881149292,2.778604930079072,0.0,0.9912868738174438,1.0
-1.3226362466812134,4.0,0.0,0.4274222254753113,1.0
-4.42535924911499,0.9504550673088348,0.0,1.725441575050354,1.0
-4.64304256439209,0.713906155251427,0.0,1.8589974641799927,1.0
-5.40123987197876,0.0,0.0,2.395847797393799,1.0
-5.186839580535889,0.15110207128482028,0.0,2.2371609210968018,1.0
-5.082700252532959,0.25179474241546707,0.0,2.161827564239502,1.0
-4.877121448516846,0.461318269227483,0.0,2.016688108444214,1.0
-3.93281888961792,1.4695740013018386,0.0,1.4709800481796265,1.0
-3.5431203842163086,1.8743059098999548,0.0,1.302396297454834,1.0
-1.4601157903671265,3.8150241300044407,0.0,0.013113639317452908,1.0
-2.4259352684020996,3.0013323772612455,0.0,0.923107385635376,1.0
-4.4402174949646,0.9343814054014461,0.0,1.7341303825378418,1.0
-5.36527681350708,0.0,0.0,2.3688876628875732,1.0
-5.190026760101318,0.1480794516149811,0.0,2.239485502243042,1.0
-4.7076334953308105,0.6435635965153171,0.0,1.90122652053833,1.0
-5.03210973739624,0.30204501652442184,0.0,2.125669002532959,1.0
-4.866296291351318,0.4727361935946283,0.0,2.0091800689697266,1.0
-3.916975975036621,1.4860125823074923,0.0,1.4636720418930054,1.0
-3.543727397918701,1.8736776922025318,0.0,1.3026409149169922,1.0
-2.562561273574829,2.862322215745582,0.0,0.9654617309570312,1.0
-1.3379563093185425,3.997741604290151,0.0,0.2857051193714142,1.0
-4.381648540496826,0.9975954018828235,0.0,1.7002652883529663,1.0
-4.620473861694336,0.7384872169211869,0.0,1.8445258140563965,1.0
-5.210436820983887,0.1288151647470452,0.0,2.254392147064209,1.0
-5.373773097991943,0.0,0.0,2.3752405643463135,1.0
-5.051164150238037,0.28301721616945685,0.0,2.139254093170166,1.0
-4.8533148765563965,0.4864769170853905,0.0,2.0001955032348633,1.0
-4.032533645629883,1.3663422241774124,0.0,1.5178487300872803,1.0
-3.423341751098633,1.998003504779215,0.0,1.2551600933074951,1.0
-1.4166942834854126,3.8249969746961097,0.0,0.11332868039608002,1.0
-2.4365200996398926,2.9906008499006784,0.0,0.9263598918914795,1.0
-4.4167256355285645,0.9597813481774577,0.0,1.7204246520996094,1.0
-5.346272945404053,0.004435371491121167,0.0,2.354702949523926,1.0
-5.2173171043396,0.12235460973646405,0.0,2.259427070617676,1.0
-4.662927150726318,0.6922314893752275,0.0,1.8718791007995605,1.0
-5.078360080718994,0.256071058803218,0.0,2.158714771270752,1.0
-4.895740032196045,0.44176805020686694,0.0,2.0296339988708496,1.0
-4.0888671875,1.3078028456123467,0.0,1.5451979637145996,1.0
-3.5138683319091797,1.9045839846680903,0.0,1.2906641960144043,1.0
-2.5436291694641113,2.88163888340926,0.0,0.9595417380332947,1.0
-1.4253956079483032,3.815383010639658,0.0,0.09212329238653183,1.0
-4.4331536293029785,0.9420275423572035,0.0,1.7299904823303223,1.0
-5.329803943634033,0.01915606295439802,0.0,2.342440128326416,1.0
-4.639290809631348,0.7179966788648986,0.0,1.8565791845321655,1.0
-5.215003490447998,0.12452408962416894,0.0,2.2577342987060547,1.0
-5.030029773712158,0.3041303024158668,0.0,2.12418794631958,1.0
-4.861233234405518,0.4780883933364658,0.0,2.005673885345459,1.0
-4.000826835632324,1.3991077952225983,0.0,1.5027875900268555,1.0
-3.436216115951538,1.9847476836617286,0.0,1.2601356506347656,1.0
-2.1503255367279053,3.2809367754245238,0.0,0.8385021686553955,1.0
-1.3299574851989746,4.0,0.0,0.3349711000919342,1.0
-4.369811534881592,1.010332139919302,0.0,1.693540096282959,1.0
-4.615723133087158,0.7436552039592509,0.0,1.8415015935897827,1.0
-5.350834846496582,0.00037512062843395575,0.0,2.358104944229126,1.0
-5.1858720779418945,0.15201976632509565,0.0,2.2364559173583984,1.0
-5.028450012207031,0.3057148309328277,0.0,2.123063564300537,1.0
-4.909244537353516,0.42765831257688,0.0,2.0390491485595703,1.0
-3.9442391395568848,1.457728373911546,0.0,1.4762722253799438,1.0
-3.5556020736694336,1.861376918706922,0.0,1.3074405193328857,1.0
-2.155679225921631,3.27540493058109,0.0,0.8401869535446167,1.0
-1.319990634918213,4.0,0.0,0.48882535099983215,1.0
-4.394132137298584,0.9841516947104306,0.0,1.7073991298675537,1.0
-5.336284160614014,0.013351924699923233,0.0,2.347261905670166,1.0
-5.212759017944336,0.12663283564412045,0.0,2.2560908794403076,1.0
-4.649444580078125,0.7069251650648117,0.0,1.8631339073181152,1.0
-5.052895545959473,0.2812956365152474,0.0,2.1404895782470703,1.0
-4.8542327880859375,0.48550203308479256,0.0,2.000831127166748,1.0
-3.986154079437256,1.4142938485291165,0.0,1.495866060256958,1.0
