position,examination
0,0.0
1,-0.5711225
2,-0.92492485
3,-1.1394088
4,-1.3315885
5,-1.4687793
6,-1.6162302
7,-1.7467675
8,-1.8442178
9,-1.9189887
10,-2.0037286
11,-2.0731306
12,-2.133984
13,-2.171142
14,-2.243301
15,-2.2728996
16,-2.308987
17,-2.3517911
18,-2.3730671
19,-2.4231699
20,-2.408462
21,-2.4244971
22,-2.4723394
23,-2.482318
24,-2.4869394
