input_value,relevance
0.0,-0.98805094
0.0010001,-0.9863634
0.0020002,-0.9840767
0.0030003001,-0.98178035
0.0040004,-0.9796484
0.0050005,-0.9774972
0.0060006003,-0.97561324
0.0070007006,-0.9733896
0.0080008,-0.97114396
0.0090009,-0.96906954
0.010001,-0.9668859
0.011001101,-0.9649514
0.012001201,-0.96283674
0.0130013,-0.9606694
0.014001401,-0.9583782
0.015001501,-0.95630944
0.0160016,-0.9542682
0.017001702,-0.9520214
0.0180018,-0.9500469
0.019001901,-0.9479092
0.020002,-0.9456797
0.0210021,-0.9436023
0.022002202,-0.9414468
0.0230023,-0.939483
0.024002401,-0.9371969
0.025002502,-0.9349663
0.0260026,-0.9330948
0.027002702,-0.93087715
0.028002802,-0.9288185
0.029002901,-0.9266972
0.030003002,-0.9244952
0.0310031,-0.9224513
0.0320032,-0.92037565
0.0330033,-0.9182338
0.034003403,-0.9160222
0.035003502,-0.91387826
0.0360036,-0.91193914
0.037003703,-0.9097238
0.038003802,-0.9076972
0.0390039,-0.90554947
0.040004,-0.9034371
0.041004103,-0.9012718
0.0420042,-0.8992006
0.0430043,-0.89709777
0.044004403,-0.895109
0.045004502,-0.892816
0.0460046,-0.8909082
0.047004703,-0.88867575
0.048004802,-0.886579
0.0490049,-0.88438267
0.050005004,-0.8823694
0.051005103,-0.88040394
0.0520052,-0.87811464
0.053005304,-0.87593746
0.054005403,-0.8737665
0.055005502,-0.87174433
0.056005605,-0.86971015
0.057005703,-0.86766213
0.058005802,-0.8654323
0.0590059,-0.86328715
0.060006004,-0.8612279
0.061006103,-0.85920346
0.0620062,-0.8569766
0.063006304,-0.85500777
0.0640064,-0.8528225
0.0650065,-0.8507713
0.0660066,-0.8487709
0.0670067,-0.8464547
0.068006806,-0.84446216
0.069006905,-0.84239364
0.070007004,-0.840362
0.0710071,-0.8381591
0.0720072,-0.83601314
0.0730073,-0.8340185
0.07400741,-0.8317711
0.075007506,-0.8298562
0.076007605,-0.82769316
0.0770077,-0.8256306
0.0780078,-0.823587
0.0790079,-0.82146376
