feature,relevance
0,0.027434234
1,-1.3048893
2,0.34087393
3,2.4635842
4,0.22351748
5,-0.8362126
6,0.12359814
7,-2.7263098
8,-1.5638299
9,-2.8025599
10,1.1565355
11,-0.79227
12,2.1472082
13,0.96195793
14,-2.3035753
15,0.49007738
16,-1.3401053
17,-0.11141848
18,2.5622206
19,-1.3563074
20,1.9163573
21,0.5527566
22,0.05733331
23,-2.802056
24,-0.7001196
25,-1.414713
26,2.0946474
27,4.8550706
28,0.3703817
29,-2.6919405
30,-2.4937568
31,2.0564547
32,-1.9489626
33,2.9629343
34,-2.9136953
35,2.0051856
36,0.26281077
37,-0.90030795
38,1.0378305
39,-0.99177766
40,1.726725
41,-1.4267992
42,0.3627037
43,-1.4853286
44,3.0031576
45,2.3571336
46,0.8789311
47,1.1052469
48,-1.3522158
49,1.306067
50,-0.674438
51,0.10920776
52,-1.0598191
53,2.2892802
54,1.3009049
55,0.58645964
56,1.9337597
57,-0.8231936
58,-0.6559977
59,3.8629708
60,0.24539812
61,1.1591656
62,2.2214625
63,0.066099145
64,-2.62393
65,-0.13789774
66,-2.9831793
67,-2.5727
68,-1.5509748
69,3.0438392
70,1.7626464
71,0.28163898
72,1.3119129
73,2.9046884
74,1.0509353
75,-2.6511161
76,0.30943617
77,1.9951812
78,0.27171543
79,1.423457
80,4.364764
81,1.8991753
82,-0.469081
83,1.076192
84,0.826619
85,0.7015387
86,1.4901541
87,1.991716
88,-2.4530652
89,0.36429408
90,-1.4581412
91,0.038319256
92,3.0100105
93,2.4352043
94,-1.48577
95,-1.1270669
96,-0.6959006
97,1.7221607
98,0.7277421
99,0.75376046
