position,examination
0,0.0
1,-0.7211276
2,-1.129791
3,-1.3971584
4,-1.6149
5,-1.7993302
6,-1.9812914
7,-2.1065454
8,-2.1906633
9,-2.3317883
10,-2.410804
11,-2.514161
12,-2.5729246
13,-2.613392
14,-2.686215
15,-2.789421
16,-2.838736
17,-2.8815396
18,-2.9441369
19,-2.9918017
20,-3.0529242
21,-3.1019144
22,-3.1249561
23,-3.1787195
24,-3.2624183
