relevance,label,feature_0,feature_1,examination_0
-3.701460123062134,1.0130594605692755,0.0,1.7115973234176636,-2.0
-4.828165054321289,0.0,0.0,2.3644137382507324,-2.0
-3.9661762714385986,0.7267930912466917,0.0,1.8575471639633179,-2.0
-4.637913227081299,0.08561295799326019,0.0,2.25020694732666,-2.0
-4.445239543914795,0.25557353401017335,0.0,2.1353137493133545,-2.0
-4.211716175079346,0.47703914371828354,0.0,1.9981637001037598,-2.0
-3.3511884212493896,1.3978523062387747,0.0,1.5368027687072754,-2.0
-2.4944839477539062,2.215082664157981,0.0,1.229348063468933,-2.0
-1.2741520404815674,3.4403765110827864,0.0,0.8690732717514038,-2.0
-0.6610475182533264,4.0,0.0,0.4252024292945862,-2.0
