feature,relevance
0,0.17204916
1,-1.1081136
2,-1.2956748
3,2.7516704
4,0.33196637
5,-0.65476465
6,0.31282678
7,-2.7597132
8,-1.4139373
9,-2.715767
10,1.3529696
11,-0.51143926
12,2.5037446
13,1.1478953
14,-2.2856727
15,0.7577491
16,-1.1696187
17,0.028239816
18,0.8086415
19,-1.1391051
20,2.1190035
21,0.77971727
22,0.26309124
23,-2.735483
24,-0.64757603
25,-1.2210369
26,2.4202325
27,3.314627
28,0.52831537
29,-2.710564
30,-2.3313107
31,2.3515606
32,-1.6768798
33,3.3047588
34,-2.7070236
35,2.2180781
36,0.37542063
37,-0.7422747
38,-0.63127136
39,-0.9683399
40,1.9451609
41,-1.2802913
42,0.49133122
43,-1.3496503
44,3.3027976
45,2.7148046
46,1.0290897
47,-0.63779205
48,-1.1403152
49,1.5023217
50,-0.6488942
51,0.2654058
52,-0.98177606
53,2.5805335
54,1.5587851
55,0.73909104
56,2.251345
57,-0.647542
58,-0.6043932
59,2.2183456
60,0.40607333
61,1.3701289
62,0.49297607
63,0.28285933
64,-2.7578602
65,0.06149398
66,-2.7338493
67,-2.347739
68,-1.3986218
69,3.3054078
70,1.9941827
71,0.5074525
72,1.5861878
73,3.2006695
74,-0.60010284
75,-2.538814
76,0.4097025
77,2.2776887
78,0.38397264
79,1.6956059
80,2.7979496
81,2.2165375
82,-0.42650425
83,1.177833
84,0.98203266
85,0.87364787
86,1.6559983
87,2.286944
88,-2.3391662
89,0.4912865
90,-1.2975986
91,0.3064568
92,3.318849
93,0.77248585
94,-1.3486638
95,-0.9286032
96,-0.5269048
97,2.012798
98,0.87424266
99,0.9479824
