feature,relevance
0,0.09987629
1,-1.1394894
2,-1.3213627
3,2.5175467
4,0.2627494
5,-0.7023343
6,0.2320763
7,-2.7627053
8,-1.4363226
9,-2.7322786
10,1.2189852
11,-0.55646884
12,2.278872
13,1.0200698
14,-2.300432
15,0.66146505
16,-1.1940411
17,-0.0306444
18,0.7209468
19,-1.1659245
20,1.925385
21,0.6828022
22,0.19224934
23,-2.7417908
24,-0.6956693
25,-1.2446992
26,2.2081945
27,3.0219371
28,0.45115253
29,-2.726518
30,-2.3459053
31,2.1549637
32,-1.6962781
33,3.0133672
34,-2.7187593
35,2.0302835
36,0.29478222
37,-0.7857741
38,-0.6714327
39,-1.0021379
40,1.7747656
41,-1.3017455
42,0.41888
43,-1.3772336
44,2.9940276
45,2.4828777
46,0.9104144
47,-0.67901826
48,-1.1655924
49,1.358916
50,-0.68961114
51,0.18985592
52,-1.0152584
53,2.3595164
54,1.4277598
55,0.6466689
56,2.0460432
57,-0.6907904
58,-0.64827645
59,2.033488
60,0.31990668
61,1.2344229
62,0.4275447
63,0.20813596
64,-2.7642646
65,0.003873386
66,-2.7492723
67,-2.3684335
68,-1.426021
69,3.012191
70,1.821268
71,0.4141326
72,1.4302421
73,2.943896
74,-0.64150274
75,-2.5504813
76,0.33248997
77,2.0833383
78,0.3011475
79,1.5457823
80,2.5686615
81,2.0157506
82,-0.481568
83,1.0642476
84,0.869127
85,0.7858153
86,1.512007
87,2.08555
88,-2.355862
89,0.40806615
90,-1.3299876
91,0.24056195
92,3.028289
93,0.6775509
94,-1.3727483
95,-0.97048
96,-0.56728935
97,1.827356
98,0.78051066
99,0.85065323
