feature,relevance
0,0.063351944
1,-1.1866813
2,-1.372499
3,2.5302436
4,0.22301988
5,-0.74440247
6,0.20360242
7,-2.8218088
8,-1.4878551
9,-2.7805207
10,1.2080559
11,-0.59876865
12,2.2900014
13,1.0086187
14,-2.3535423
15,0.6370474
16,-1.2488308
17,-0.07209814
18,0.6885338
19,-1.2166599
20,1.9310853
21,0.6576442
22,0.15501708
23,-2.7979515
24,-0.7360425
25,-1.2987103
26,2.2140403
27,3.0414286
28,0.41526082
29,-2.775266
30,-2.3989093
31,2.155678
32,-1.7468735
33,3.032412
34,-2.772305
35,2.0302691
36,0.26358506
37,-0.82980055
38,-0.71825516
39,-1.0494721
40,1.7721698
41,-1.3565191
42,0.38035977
43,-1.4254608
44,3.0195425
45,2.4921327
46,0.89343935
47,-0.7255027
48,-1.2178301
49,1.3484569
50,-0.73503566
51,0.15462308
52,-1.0609572
53,2.3643663
54,1.4129831
55,0.6186208
56,2.0544426
57,-0.73511714
58,-0.6924516
59,2.0305088
60,0.2908916
61,1.2246213
62,0.3842768
63,0.17618307
64,-2.819957
65,-0.035864417
66,-2.7992792
67,-2.4160683
68,-1.4757144
69,3.0308723
70,1.8184001
71,0.39133796
72,1.4252737
73,2.94487
74,-0.6849922
75,-2.6042993
76,0.29839227
77,2.0834055
78,0.2742548
79,1.5362488
80,2.577121
81,2.021804
82,-0.5177684
83,1.0381347
84,0.8510326
85,0.74985623
86,1.4995093
87,2.090443
88,-2.4062207
89,0.37445855
90,-1.3755443
91,0.20134047
92,3.048992
93,0.6548455
94,-1.4243131
95,-1.0112622
96,-0.61384475
97,1.8292636
98,0.7478542
99,0.8204599
