position,examination
0,0.0
1,-0.65158796
2,-1.0255854
3,-1.2702966
4,-1.4889497
5,-1.6545998
6,-1.7990333
7,-1.943367
8,-2.032761
9,-2.137861
10,-2.2230418
11,-2.2933543
12,-2.3900185
13,-2.47019
14,-2.5467112
15,-2.5794725
16,-2.6474547
17,-2.7089238
18,-2.7481294
19,-2.8011677
20,-2.8218145
21,-2.8813326
22,-2.904461
23,-2.941863
24,-2.9876332
