feature,relevance
0,2.8152144
1,0.3273828
2,0.28058016
3,-2.6427178
4,1.2311054
5,-2.2363367
6,-1.1793014
7,-6.2513623
8,-3.9554198
9,-0.15740448
10,-2.3474462
11,-5.158275
12,-1.4056419
13,0.5308785
14,1.5902697
15,-2.4825957
16,-2.805916
17,-1.6388448
18,-1.9563223
19,-7.484543
20,1.7394625
21,2.1003695
22,-2.229637
23,0.5124889
24,-4.679523
25,-6.896702
26,-1.8798748
27,-1.1599747
28,2.6801255
29,-2.161065
30,-4.029748
31,-1.5211583
32,-4.0497932
33,-2.5742447
34,-6.898705
35,-1.5647796
36,-0.6104226
37,0.55994755
38,-1.7422124
39,3.2228487
40,-0.671367
41,-3.0939572
42,-2.9496396
43,-3.0174377
44,2.912237
45,-5.0146327
46,-1.1546298
47,-2.0583107
48,-7.7051315
49,0.21266432
50,1.2023221
51,-3.8619297
52,-0.6421545
53,-1.911881
54,-3.4893305
55,-0.13041145
56,0.06695877
57,-7.112357
58,-0.7779978
59,2.1192663
60,1.4444215
61,-0.2090916
62,-1.6791738
63,1.452335
64,-0.87802285
65,-7.358658
66,-2.5614061
67,-4.966925
68,-0.5053627
69,-3.7831366
70,-1.4340512
71,0.3104213
72,-3.1144054
73,-2.04046
74,-1.6677366
75,-2.8446321
76,-2.0741313
77,1.2295173
78,-7.405392
79,-0.8194698
80,-0.34072906
81,1.7697448
82,2.1451964
83,-6.715411
84,-1.7294676
85,1.9153467
86,-1.0390275
87,-2.7995973
88,-1.7797294
89,-2.1942391
90,-2.0380795
91,-1.5513605
92,-7.623874
93,-1.7247161
94,-1.6646955
95,0.32079893
96,3.1154315
97,-4.264287
98,-2.759896
99,-4.14714
