position,examination
0,0.97339606
1,-1.2995256
2,-0.46035504
3,0.13925977
4,-0.34899613
5,-0.51355445
6,-0.72762454
7,-0.947635
8,-1.1437846
9,0.32763568
10,1.7713901
11,1.9899092
