feature,relevance
0,2.9726458
1,1.9679054
2,1.2342
3,-0.5849656
4,1.773469
5,-0.75309926
6,1.0349705
7,-1.0462303
8,0.6177794
9,0.6599107
10,-0.99554974
11,-2.5524251
12,-1.3202255
13,1.2087657
14,2.0511763
15,-0.5102054
16,1.7465694
17,-0.4735812
18,-0.088126436
19,-2.3266337
20,1.9159145
21,2.961204
22,0.28851965
23,2.206453
24,0.023349907
25,-1.8880506
26,-0.480007
27,-0.15557046
28,3.3208804
29,-0.58862823
30,-1.5240736
31,0.12099792
32,0.5416356
33,-0.70040804
34,-1.889857
35,-0.24676341
36,-0.5061261
37,1.0229384
38,-0.6224753
39,3.5979838
40,0.23466586
41,1.3972588
42,-0.9866714
43,-1.4051597
44,3.2137067
45,-2.1794837
46,0.6225429
47,-1.840219
48,-2.3560343
49,1.0927497
50,2.7764869
51,0.65140396
52,-0.5368052
53,-0.77317524
54,-1.1644704
55,0.61933297
56,1.5041971
57,-2.0318441
58,0.95044845
59,2.6745741
60,2.202805
61,0.91270876
62,-0.7183947
63,1.9892234
64,0.89723736
65,-2.430263
66,-2.2274594
67,-2.20401
68,0.92839485
69,0.81375396
70,2.8106046
71,0.37848517
72,-0.96786314
73,-0.58446616
74,-0.8385364
75,-1.0130577
76,-0.32434362
77,1.6782718
78,-2.040646
79,0.09739706
80,0.12698624
81,1.8488667
82,2.8941705
83,-1.13789
84,0.02663057
85,2.3746536
86,1.271631
87,1.7658192
88,-0.013252343
89,-0.630282
90,-0.8001062
91,-0.80590326
92,-2.220982
93,-0.70042485
94,-1.3773662
95,2.020639
96,3.677324
97,-1.3107157
98,-1.0477916
99,0.35757926
