relevance,label,feature_0,feature_1,examination_0
-7.134397983551025,1.0130594605692755,0.0,1.7115973234176636,3.0
-4.740631103515625,0.0,0.0,2.3644137382507324,3.0
-4.194439888000488,0.7267930912466917,0.0,1.8575471639633179,3.0
-4.619217872619629,0.08561295799326019,0.0,2.25020694732666,3.0
-4.494508266448975,0.25557353401017335,0.0,2.1353137493133545,3.0
-4.339026927947998,0.47703914371828354,0.0,1.9981637001037598,3.0
-4.3781046867370605,1.3978523062387747,0.0,1.5368027687072754,3.0
-3.765772581100464,2.215082664157981,0.0,1.229348063468933,3.0
-3.765766143798828,3.4403765110827864,0.0,0.8690732717514038,3.0
-3.7657651901245117,4.0,0.0,0.4252024292945862,3.0
