relevance,label,feature_0,feature_1,examination_0
-5.792523384094238,0.9105519035575592,0.0,1.731867790222168,1.7265139818191528
-5.92171049118042,0.7616846237999558,0.0,1.8134883642196655,1.7265139818191528
-6.633255481719971,0.0,0.0,2.3348004817962646,1.7265139818191528
-6.523271560668945,0.09753536311740645,0.0,2.2469561100006104,1.7265139818191528
-5.619357109069824,1.1108404540008974,0.0,1.6290444135665894,1.7265139818191528
-6.1189703941345215,0.536951720558498,0.0,1.9461958408355713,1.7265139818191528
-6.359780788421631,0.2705964057558976,0.0,2.1209311485290527,1.7265139818191528
-4.594848155975342,2.268080421930368,0.0,1.1556540727615356,1.7265139818191528
-3.213301181793213,3.6902447102672213,0.0,0.7123124003410339,1.7265139818191528
-3.1368608474731445,3.766772695997246,0.0,0.6851149797439575,1.7265139818191528
-5.924699783325195,0.7582508301343336,0.0,1.8154271841049194,1.7265139818191528
-6.6566548347473145,0.0,0.0,2.3537819385528564,1.7265139818191528
-6.014153957366943,0.6558522484340719,0.0,1.8744754791259766,1.7265139818191528
-6.48599100112915,0.13632127246727252,0.0,2.217724084854126,1.7265139818191528
-6.44345760345459,0.18108084852961273,0.0,2.1847245693206787,1.7265139818191528
-5.564302921295166,1.174504802324465,0.0,1.5979117155075073,1.7265139818191528
-6.237340450286865,0.40461578660622416,0.0,2.030395746231079,1.7265139818191528
-4.8654584884643555,1.9697279542749946,0.0,1.2615528106689453,1.7265139818191528
-4.6792893409729,2.175661986823788,0.0,1.1875079870224,1.7265139818191528
-3.145646810531616,3.7579693404424406,0.0,0.688335657119751,1.7265139818191528
-5.8774824142456055,0.8125509754064074,0.0,1.785070538520813,1.7265139818191528
-5.931050777435303,0.7509592769682526,0.0,1.8195528984069824,1.7265139818191528
-6.705948829650879,0.0,0.0,2.39408802986145,1.7265139818191528
-6.4945597648620605,0.1273681663075615,0.0,2.2244181632995605,1.7265139818191528
-6.454868316650391,0.16902172500017368,0.0,2.193540096282959,1.7265139818191528
-6.225760459899902,0.41745460553099123,0.0,2.0220110416412354,1.7265139818191528
-5.258524417877197,1.5261697812773183,0.0,1.4380325078964233,1.7265139818191528
-5.10281229019165,1.7032202003829626,0.0,1.3645342588424683,1.7265139818191528
-2.8840270042419434,3.8297361829285026,0.0,0.024204688146710396,1.7265139818191528
-3.9635772705078125,2.938841547150405,0.0,0.9433220624923706,1.7265139818191528
-5.927755832672119,0.7547422312198153,0.0,1.817410945892334,1.7265139818191528
-6.643788814544678,0.0,0.0,2.3433334827423096,1.7265139818191528
-6.467353343963623,0.15586908286049633,0.0,2.2032177448272705,1.7265139818191528
-6.173614501953125,0.4755670261676841,0.0,1.9846500158309937,1.7265139818191528
-6.183680534362793,0.4643118470600177,0.0,1.9918118715286255,1.7265139818191528
